,Currency,Name,Units per EUR,EUR per unit,Date
98,PGK,Papua New Guinean Kina,3.5135084899341105,0.2846157915556234,2022-08-29
99,SDG,Sudanese Pound,577.8630255918757,0.0017305139033177,2022-08-29
100,MOP,Macau Pataca,8.07938300312054,0.1237718275781411,2022-08-29
101,BMD,Bermudian Dollar,0.9996190854343288,1.0003810597168676,2022-08-29
102,NIO,Nicaraguan Cordoba,36.01000191724963,0.0277700623926092,2022-08-29
103,BAM,Bosnian Convertible Mark,1.95583,0.5112918811962185,2022-08-29
104,KZT,Kazakhstani Tenge,473.9719821857181,0.0021098293519133,2022-08-29
105,PAB,Panamanian Balboa,0.9996190854343288,1.0003810597168676,2022-08-29
106,GYD,Guyanese Dollar,209.2232918362824,0.0047795825752636,2022-08-29
107,YER,Yemeni Rial,250.1089626249932,0.0039982573575316,2022-08-29
108,MGA,Malagasy Ariary,4215.845292576648,0.0002372003549942,2022-08-29
109,KYD,Caymanian Dollar,0.8196929662241907,1.219968989860155,2022-08-29
110,MZN,Mozambican Metical,63.84796151047735,0.0156622071612404,2022-08-29
111,RSD,Serbian Dinar,117.36764614253016,0.0085202356259714,2022-08-29
112,SCR,Seychellois Rupee,14.293226862038107,0.0699632077243477,2022-08-29
113,AMD,Armenian Dram,402.75363221900994,0.0024829074650187,2022-08-29
114,AZN,Azerbaijan Manat,1.699293082905004,0.5884800038675279,2022-08-29
115,SBD,Solomon Islander Dollar,8.159967896563405,0.1225495017475685,2022-08-29
116,SLL,Sierra Leonean Leone,13907.805124564056,7.19020716096e-05,2022-08-29
117,TOP,Tongan Pa'anga,2.34611167880394,0.4262371689440655,2022-08-29
118,BZD,Belizean Dollar,2.0186843646139856,0.4953721431290823,2022-08-29
119,GMD,Gambian Dalasi,54.65824107729357,0.0182955027511016,2022-08-29
120,MWK,Malawian Kwacha,1023.4014343885226,0.0009771336705204,2022-08-29
121,BIF,Burundian Franc,2066.35569538465,0.0004839437867515,2022-08-29
122,HTG,Haitian Gourde,129.44012410684027,0.0077255797373509,2022-08-29
123,SOS,Somali Shilling,566.8231838215729,0.0017642185932796,2022-08-29
124,GNF,Guinean Franc,8651.297473529205,0.0001155895983301,2022-08-29
125,MNT,Mongolian Tughrik,3220.355244925588,0.0003105247477202,2022-08-29
126,MVR,Maldivian Rufiyaa,15.401949289032412,0.0649268466759653,2022-08-29
127,CDF,Congolese Franc,2033.9972408479316,0.0004916427514833,2022-08-29
128,STN,Sao Tomean Dobra,24.6476588685491,0.0405718046218182,2022-08-29
129,TJS,Tajikistani Somoni,10.173051981448246,0.0982989177508988,2022-08-29
130,KPW,North Korean Won,899.6837554520604,0.0011115016737159,2022-08-29
131,KGS,Kyrgyzstani Som,80.66740423381376,0.0123965808680481,2022-08-29
132,LRD,Liberian Dollar,153.50552195371802,0.0065144236329263,2022-08-29
133,LSL,Basotho Loti,16.8240920851067,0.0594385714807895,2022-08-29
134,MMK,Burmese Kyat,2104.163173435674,0.0004752483137356,2022-08-29
135,GIP,Gibraltar Pound,0.8535068738734454,1.1716367267925205,2022-08-29
136,XPT,Platinum Ounce,0.0011529506581389,867.3398058631414,2022-08-29
137,MDL,Moldovan Leu,19.34909543475441,0.0516820025707156,2022-08-29
138,CUP,Cuban Peso,24.04214565183785,0.0415936253977214,2022-08-29
139,KHR,Cambodian Riel,4131.453488115649,0.0002420455665001,2022-08-29
140,MKD,Macedonian Denar,61.83732285773291,0.0161714633458609,2022-08-29
141,VUV,Ni-Vanuatu Vatu,117.69784489044012,0.0084963322899485,2022-08-29
142,ANG,Dutch Guilder,1.789248855586654,0.5588937485569175,2022-08-29
143,MRU,Mauritanian Ouguiya,37.7309918498817,0.0265034114125238,2022-08-29
144,SZL,Swazi Lilangeni,16.8240920851067,0.0594385714807895,2022-08-29
145,CVE,Cape Verdean Escudo,110.27,0.0090686496780629,2022-08-29
146,SRD,Surinamese Dollar,24.708838096400928,0.0404713485959365,2022-08-29
147,SVC,Salvadoran Colon,8.746666997550378,0.114329263967642,2022-08-29
148,XPD,Palladium Ounce,0.0004682499727294,2135.611443116371,2022-08-29
149,BSD,Bahamian Dollar,0.9996190854343288,1.0003810597168676,2022-08-29
150,XDR,IMF Special Drawing Rights,0.7679448199534901,1.302176893465554,2022-08-29
